year,spvhk,spv,MigCount
1995,1,1,0
1995,2,2,0
1995,3,1,3
1995,3,2,2
1995,3,3,3
1995,4,4,4
1995,5,5,5
1995,5,6,1
1995,6,6,2
1995,7,6,2
1995,7,7,1
1995,7,19,1
1995,8,7,1
1995,8,8,3
1995,9,9,0
1995,10,9,7
1995,10,10,13
1995,10,19,2
1995,11,9,4
1995,11,10,3
1995,11,11,24
1995,11,12,2
1995,11,13,2
1995,11,25,2
1995,11,31,2
1995,12,4,1
1995,12,6,2
1995,12,9,7
1995,12,10,1
1995,12,11,1
1995,12,12,3
1995,12,13,2
1995,12,19,2
1995,13,3,1
1995,13,9,4
1995,13,13,11
1995,13,15,2
1995,13,19,1
1995,14,9,1
1995,14,11,4
1995,14,13,1
1995,14,14,3
1995,14,18,1
1995,14,19,6
1995,15,1,2
1995,15,8,2
1995,15,10,4
1995,15,15,5
1995,15,19,2
1995,15,31,2
1995,16,1,1
1995,16,15,1
1995,16,16,10
1995,16,19,7
1995,16,27,1
1995,16,31,1
1995,17,2,1
1995,17,11,3
1995,17,17,13
1995,17,19,8
1995,17,31,1
1995,18,1,2
1995,18,10,1
1995,18,11,2
1995,18,18,8
1995,18,19,14
1995,18,20,4
1995,18,24,1
1995,19,19,46
1995,20,19,24
1995,20,20,7
1995,20,21,2
1995,21,21,0
1995,22,1,2
1995,22,11,1
1995,22,19,5
1995,22,22,4
1995,22,23,9
1995,22,24,1
1995,22,25,2
1995,22,26,1
1995,22,31,1
1995,23,1,1
1995,23,2,1
1995,23,11,2
1995,23,19,28
1995,23,22,7
1995,23,23,12
1995,23,25,5
1995,23,26,1
1995,24,9,1
1995,24,19,2
1995,24,24,2
1995,25,25,5
1995,26,26,0
1995,27,1,1
1995,27,16,2
1995,27,27,4
1995,27,30,2
1995,28,1,1
1995,28,19,3
1995,28,26,1
1995,28,28,2
1995,28,31,2
1995,29,29,0
1995,30,30,0
1995,31,31,2
1996,1,1,3
1996,2,2,3
1996,3,1,25
1996,3,2,5
1996,3,3,15
1996,3,15,2
1996,3,19,2
1996,4,1,3
1996,4,4,24
1996,4,27,2
1996,5,1,2
1996,5,4,1
1996,5,5,27
1996,5,6,2
1996,5,28,2
1996,6,1,2
1996,6,6,27
1996,6,19,1
1996,7,1,1
1996,7,3,2
1996,7,5,1
1996,7,6,5
1996,7,7,10
1996,7,8,2
1996,7,19,2
1996,8,3,1
1996,8,6,4
1996,8,7,1
1996,8,8,20
1996,8,15,1
1996,8,19,1
1996,9,9,6
1996,10,1,4
1996,10,9,27
1996,10,10,82
1996,10,11,3
1996,10,12,2
1996,10,15,3
1996,10,16,1
1996,10,19,7
1996,10,25,1
1996,11,1,3
1996,11,2,2
1996,11,3,2
1996,11,4,1
1996,11,9,12
1996,11,10,8
1996,11,11,86
1996,11,12,2
1996,11,13,2
1996,11,15,2
1996,11,16,2
1996,11,17,2
1996,11,18,2
1996,11,24,1
1996,11,25,2
1996,11,26,1
1996,11,27,2
1996,11,31,4
1996,12,1,2
1996,12,2,1
1996,12,4,1
1996,12,6,2
1996,12,9,32
1996,12,10,27
1996,12,11,14
1996,12,12,33
1996,12,13,7
1996,12,15,1
1996,12,17,2
1996,12,18,2
1996,12,19,10
1996,12,31,2
1996,13,3,1
1996,13,5,2
1996,13,7,2
1996,13,9,9
1996,13,11,2
1996,13,13,47
1996,13,14,2
1996,13,15,4
1996,13,18,2
1996,13,19,10
1996,13,25,3
1996,13,26,1
1996,13,31,1
1996,14,2,1
1996,14,9,6
1996,14,10,5
1996,14,11,26
1996,14,13,9
1996,14,14,33
1996,14,18,1
1996,14,19,62
1996,14,24,1
1996,14,27,1
1996,15,1,12
1996,15,2,4
1996,15,4,1
1996,15,7,1
1996,15,8,4
1996,15,9,3
1996,15,10,4
1996,15,11,1
1996,15,15,50
1996,15,16,4
1996,15,19,3
1996,15,31,3
1996,16,1,6
1996,16,2,2
1996,16,3,3
1996,16,4,2
1996,16,6,1
1996,16,9,3
1996,16,11,3
1996,16,15,3
1996,16,16,30
1996,16,17,2
1996,16,19,29
1996,16,23,1
1996,16,25,2
1996,16,27,2
1996,16,28,1
1996,16,30,2
1996,16,31,3
1996,17,2,2
1996,17,3,2
1996,17,6,2
1996,17,10,2
1996,17,11,8
1996,17,13,1
1996,17,16,1
1996,17,17,57
1996,17,18,2
1996,17,19,48
1996,17,22,1
1996,17,23,1
1996,17,25,3
1996,17,31,6
1996,18,1,2
1996,18,10,1
1996,18,11,3
1996,18,14,2
1996,18,18,45
1996,18,19,125
1996,18,20,11
1996,18,23,2
1996,18,24,1
1996,18,25,4
1996,18,31,2
1996,19,1,3
1996,19,3,2
1996,19,19,199
1996,19,25,2
1996,20,11,1
1996,20,13,1
1996,20,19,104
1996,20,20,36
1996,20,21,2
1996,21,19,2
1996,21,21,1
1996,22,1,1
1996,22,2,1
1996,22,9,2
1996,22,10,3
1996,22,11,3
1996,22,13,1
1996,22,15,2
1996,22,19,35
1996,22,22,8
1996,22,23,16
1996,22,24,2
1996,22,25,5
1996,22,26,2
1996,22,31,3
1996,23,1,5
1996,23,2,1
1996,23,4,1
1996,23,9,7
1996,23,10,8
1996,23,11,9
1996,23,13,12
1996,23,15,1
1996,23,19,118
1996,23,20,5
1996,23,22,12
1996,23,23,61
1996,23,25,10
1996,23,27,1
1996,23,31,10
1996,24,1,2
1996,24,9,1
1996,24,11,4
1996,24,19,18
1996,24,24,27
1996,24,25,2
1996,25,19,1
1996,25,25,30
1996,26,26,1
1996,27,1,3
1996,27,5,2
1996,27,10,2
1996,27,16,5
1996,27,19,7
1996,27,27,18
1996,27,28,2
1996,27,30,2
1996,27,31,2
1996,28,1,1
1996,28,19,4
1996,28,26,1
1996,28,28,12
1996,28,29,1
1996,28,31,11
1996,29,29,2
1996,30,30,4
1996,30,31,2
1996,31,19,1
1996,31,31,14
1997,1,1,5
1997,2,2,7
1997,3,1,41
1997,3,2,10
1997,3,3,34
1997,3,4,4
1997,3,5,1
1997,3,7,2
1997,3,15,2
1997,3,16,1
1997,3,19,3
1997,4,1,3
1997,4,3,2
1997,4,4,44
1997,4,5,3
1997,4,23,1
1997,4,27,2
1997,4,31,2
1997,5,1,2
1997,5,3,1
1997,5,4,2
1997,5,5,54
1997,5,6,2
1997,5,15,2
1997,5,28,2
1997,6,1,3
1997,6,5,2
1997,6,6,46
1997,6,7,2
1997,6,10,1
1997,6,19,4
1997,7,3,2
1997,7,5,1
1997,7,6,7
1997,7,7,24
1997,7,8,3
1997,7,15,3
1997,7,19,3
1997,8,3,2
1997,8,5,1
1997,8,6,9
1997,8,7,2
1997,8,8,49
1997,8,15,2
1997,8,19,1
1997,9,9,7
1997,10,1,18
1997,10,2,3
1997,10,3,1
1997,10,7,3
1997,10,9,50
1997,10,10,152
1997,10,11,7
1997,10,12,2
1997,10,15,4
1997,10,16,1
1997,10,18,2
1997,10,19,15
1997,10,25,1
1997,10,31,5
1997,11,1,9
1997,11,2,2
1997,11,3,6
1997,11,4,6
1997,11,9,17
1997,11,10,20
1997,11,11,174
1997,11,12,6
1997,11,13,2
1997,11,14,1
1997,11,15,6
1997,11,16,2
1997,11,17,2
1997,11,18,4
1997,11,19,14
1997,11,20,2
1997,11,22,1
1997,11,24,3
1997,11,25,10
1997,11,26,1
1997,11,27,2
1997,11,31,7
1997,12,1,7
1997,12,2,4
1997,12,4,1
1997,12,6,8
1997,12,9,69
1997,12,10,67
1997,12,11,30
1997,12,12,56
1997,12,13,10
1997,12,15,1
1997,12,16,1
1997,12,17,2
1997,12,18,3
1997,12,19,26
1997,12,20,2
1997,12,25,1
1997,12,31,2
1997,13,1,4
1997,13,3,1
1997,13,5,2
1997,13,7,2
1997,13,9,12
1997,13,11,3
1997,13,13,102
1997,13,14,2
1997,13,15,4
1997,13,18,3
1997,13,19,17
1997,13,22,1
1997,13,25,4
1997,13,26,1
1997,13,31,1
1997,14,2,1
1997,14,4,1
1997,14,9,13
1997,14,10,7
1997,14,11,50
1997,14,13,22
1997,14,14,61
1997,14,17,2
1997,14,18,1
1997,14,19,149
1997,14,20,2
1997,14,24,3
1997,14,27,1
1997,15,1,19
1997,15,2,11
1997,15,4,1
1997,15,7,2
1997,15,8,5
1997,15,9,3
1997,15,10,4
1997,15,11,2
1997,15,15,143
1997,15,16,4
1997,15,19,16
1997,15,21,1
1997,15,27,1
1997,15,31,3
1997,16,1,16
1997,16,2,8
1997,16,3,3
1997,16,4,9
1997,16,6,1
1997,16,9,6
1997,16,10,2
1997,16,11,9
1997,16,15,10
1997,16,16,73
1997,16,17,6
1997,16,19,80
1997,16,22,1
1997,16,23,1
1997,16,25,2
1997,16,26,1
1997,16,27,2
1997,16,28,1
1997,16,30,2
1997,16,31,17
1997,17,1,3
1997,17,2,4
1997,17,3,2
1997,17,4,2
1997,17,6,2
1997,17,9,2
1997,17,10,7
1997,17,11,13
1997,17,13,3
1997,17,15,2
1997,17,16,3
1997,17,17,112
1997,17,18,3
1997,17,19,117
1997,17,21,2
1997,17,23,3
1997,17,25,7
1997,17,31,8
1997,18,1,2
1997,18,9,1
1997,18,10,3
1997,18,11,10
1997,18,13,1
1997,18,14,5
1997,18,17,1
1997,18,18,106
1997,18,19,275
1997,18,20,12
1997,18,22,1
1997,18,23,1
1997,18,24,6
1997,18,25,6
1997,18,30,1
1997,18,31,6
1997,19,1,3
1997,19,3,2
1997,19,19,405
1997,19,21,1
1997,19,25,3
1997,20,11,1
1997,20,13,2
1997,20,19,213
1997,20,20,88
1997,20,21,2
1997,20,25,3
1997,21,19,5
1997,21,21,5
1997,22,2,1
1997,22,3,1
1997,22,4,1
1997,22,9,7
1997,22,10,7
1997,22,11,2
1997,22,13,10
1997,22,16,1
1997,22,18,2
1997,22,19,86
1997,22,20,1
1997,22,22,7
1997,22,23,42
1997,22,24,3
1997,22,25,4
1997,22,26,2
1997,22,27,1
1997,22,28,1
1997,22,30,1
1997,22,31,6
1997,23,1,11
1997,23,2,2
1997,23,3,4
1997,23,9,12
1997,23,10,15
1997,23,11,25
1997,23,13,24
1997,23,15,4
1997,23,16,2
1997,23,17,1
1997,23,18,1
1997,23,19,267
1997,23,20,5
1997,23,22,39
1997,23,23,117
1997,23,24,5
1997,23,25,23
1997,23,27,1
1997,23,28,4
1997,23,30,1
1997,23,31,18
1997,24,1,2
1997,24,9,1
1997,24,10,2
1997,24,11,18
1997,24,13,2
1997,24,19,44
1997,24,21,1
1997,24,24,52
1997,24,25,9
1997,25,11,1
1997,25,19,2
1997,25,24,1
1997,25,25,73
1997,26,26,3
1997,27,1,3
1997,27,2,2
1997,27,4,2
1997,27,5,2
1997,27,10,2
1997,27,11,1
1997,27,16,5
1997,27,19,31
1997,27,26,2
1997,27,27,45
1997,27,28,2
1997,27,30,2
1997,27,31,7
1997,28,1,1
1997,28,9,3
1997,28,10,2
1997,28,19,9
1997,28,25,1
1997,28,26,1
1997,28,28,24
1997,28,29,4
1997,28,30,2
1997,28,31,17
1997,29,29,5
1997,29,31,2
1997,30,30,8
1997,30,31,2
1997,31,19,2
1997,31,31,20
1998,1,1,8
1998,2,2,13
1998,2,23,1
1998,3,1,70
1998,3,2,13
1998,3,3,69
1998,3,4,4
1998,3,7,2
1998,3,9,1
1998,3,10,4
1998,3,11,1
1998,3,15,3
1998,3,16,2
1998,3,19,4
1998,3,20,2
1998,3,25,2
1998,4,1,8
1998,4,3,4
1998,4,4,60
1998,4,5,5
1998,4,16,2
1998,4,23,1
1998,4,27,1
1998,4,31,2
1998,5,1,5
1998,5,2,2
1998,5,3,1
1998,5,4,4
1998,5,5,99
1998,5,6,2
1998,5,15,1
1998,5,28,2
1998,6,1,6
1998,6,3,1
1998,6,5,1
1998,6,6,78
1998,6,7,2
1998,6,10,1
1998,6,19,5
1998,7,1,2
1998,7,3,2
1998,7,5,1
1998,7,6,8
1998,7,7,34
1998,7,8,6
1998,7,15,4
1998,7,18,1
1998,7,19,4
1998,8,3,3
1998,8,5,1
1998,8,6,15
1998,8,7,2
1998,8,8,85
1998,8,15,5
1998,8,19,1
1998,9,9,13
1998,10,1,23
1998,10,2,3
1998,10,3,1
1998,10,7,10
1998,10,9,90
1998,10,10,264
1998,10,11,12
1998,10,12,3
1998,10,13,1
1998,10,15,4
1998,10,16,1
1998,10,18,2
1998,10,19,29
1998,10,25,5
1998,10,27,1
1998,10,31,9
1998,11,1,9
1998,11,2,4
1998,11,3,9
1998,11,4,8
1998,11,6,2
1998,11,8,2
1998,11,9,39
1998,11,10,26
1998,11,11,314
1998,11,12,8
1998,11,13,6
1998,11,14,2
1998,11,15,9
1998,11,16,6
1998,11,17,8
1998,11,18,4
1998,11,19,31
1998,11,20,3
1998,11,22,2
1998,11,23,6
1998,11,24,3
1998,11,25,18
1998,11,26,1
1998,11,27,2
1998,11,28,3
1998,11,31,8
1998,12,1,19
1998,12,2,4
1998,12,3,2
1998,12,4,1
1998,12,5,1
1998,12,6,10
1998,12,9,146
1998,12,10,107
1998,12,11,96
1998,12,12,93
1998,12,13,19
1998,12,15,6
1998,12,16,1
1998,12,17,6
1998,12,18,3
1998,12,19,53
1998,12,20,2
1998,12,25,1
1998,12,29,1
1998,12,30,1
1998,12,31,3
1998,13,1,4
1998,13,3,1
1998,13,5,2
1998,13,7,3
1998,13,9,20
1998,13,10,7
1998,13,11,4
1998,13,13,180
1998,13,14,4
1998,13,15,2
1998,13,18,4
1998,13,19,41
1998,13,20,1
1998,13,23,2
1998,13,25,10
1998,13,26,1
1998,13,31,1
1998,14,2,1
1998,14,4,1
1998,14,6,2
1998,14,9,27
1998,14,10,14
1998,14,11,94
1998,14,13,49
1998,14,14,100
1998,14,15,4
1998,14,17,2
1998,14,18,2
1998,14,19,288
1998,14,20,2
1998,14,21,6
1998,14,22,1
1998,14,24,3
1998,14,25,2
1998,14,27,1
1998,15,1,34
1998,15,2,16
1998,15,3,2
1998,15,4,2
1998,15,5,1
1998,15,6,3
1998,15,7,2
1998,15,8,7
1998,15,9,6
1998,15,10,6
1998,15,11,5
1998,15,13,1
1998,15,15,280
1998,15,16,4
1998,15,19,24
1998,15,21,1
1998,15,23,2
1998,15,27,1
1998,15,31,6
1998,16,1,41
1998,16,2,11
1998,16,3,9
1998,16,4,18
1998,16,6,3
1998,16,7,1
1998,16,9,13
1998,16,10,15
1998,16,11,21
1998,16,13,1
1998,16,15,18
1998,16,16,125
1998,16,17,9
1998,16,19,197
1998,16,23,2
1998,16,25,3
1998,16,26,1
1998,16,27,2
1998,16,28,2
1998,16,29,1
1998,16,30,2
1998,16,31,31
1998,17,1,10
1998,17,2,4
1998,17,3,2
1998,17,4,3
1998,17,5,2
1998,17,6,2
1998,17,8,1
1998,17,9,5
1998,17,10,15
1998,17,11,25
1998,17,13,8
1998,17,14,2
1998,17,15,2
1998,17,16,3
1998,17,17,204
1998,17,18,5
1998,17,19,244
1998,17,20,3
1998,17,21,4
1998,17,22,1
1998,17,23,2
1998,17,24,1
1998,17,25,12
1998,17,27,4
1998,17,29,2
1998,17,31,9
1998,18,1,2
1998,18,9,1
1998,18,10,6
1998,18,11,20
1998,18,13,7
1998,18,14,5
1998,18,16,1
1998,18,17,1
1998,18,18,194
1998,18,19,590
1998,18,20,23
1998,18,21,1
1998,18,22,1
1998,18,23,2
1998,18,24,8
1998,18,25,13
1998,18,30,1
1998,18,31,6
1998,19,1,3
1998,19,3,4
1998,19,10,1
1998,19,11,1
1998,19,14,2
1998,19,17,1
1998,19,19,797
1998,19,20,1
1998,19,21,3
1998,19,25,4
1998,20,10,1
1998,20,11,1
1998,20,13,2
1998,20,19,396
1998,20,20,145
1998,20,21,2
1998,20,25,4
1998,21,19,8
1998,21,21,17
1998,22,1,8
1998,22,2,1
1998,22,3,2
1998,22,4,1
1998,22,6,2
1998,22,9,5
1998,22,10,13
1998,22,11,15
1998,22,13,14
1998,22,15,1
1998,22,16,2
1998,22,17,2
1998,22,18,2
1998,22,19,184
1998,22,20,4
1998,22,22,25
1998,22,23,84
1998,22,24,2
1998,22,25,17
1998,22,26,3
1998,22,27,3
1998,22,30,1
1998,22,31,11
1998,23,1,10
1998,23,2,3
1998,23,3,5
1998,23,6,1
1998,23,9,22
1998,23,10,34
1998,23,11,47
1998,23,13,47
1998,23,15,3
1998,23,16,2
1998,23,17,5
1998,23,18,1
1998,23,19,499
1998,23,20,5
1998,23,21,2
1998,23,22,74
1998,23,23,200
1998,23,24,11
1998,23,25,36
1998,23,26,8
1998,23,27,3
1998,23,28,5
1998,23,30,1
1998,23,31,32
1998,24,1,2
1998,24,4,1
1998,24,9,1
1998,24,10,4
1998,24,11,30
1998,24,13,6
1998,24,19,75
1998,24,20,6
1998,24,21,1
1998,24,23,1
1998,24,24,90
1998,24,25,23
1998,25,11,3
1998,25,19,3
1998,25,24,1
1998,25,25,149
1998,26,19,1
1998,26,26,6
1998,27,1,3
1998,27,2,2
1998,27,4,3
1998,27,5,2
1998,27,9,2
1998,27,10,2
1998,27,11,1
1998,27,13,1
1998,27,15,1
1998,27,16,5
1998,27,19,66
1998,27,25,2
1998,27,26,2
1998,27,27,90
1998,27,28,4
1998,27,30,3
1998,27,31,7
1998,28,1,4
1998,28,5,1
1998,28,9,3
