year,provcode,ktotal
1952,11,18.47178
1953,11,21.00857
1954,11,27.19274
1955,11,29.831
1956,11,34.63022
1957,11,38.45522
1958,11,46.48949
1959,11,59.79044
1960,11,72.43622
1961,11,74.19763
1962,11,67.86466
1963,11,64.37298
1964,11,66.34676
1965,11,70.83049
1966,11,75.81678
1967,11,76.82389
1968,11,77.18763
1969,11,81.22314
1970,11,82.73113
1971,11,87.72361
1972,11,92.11989
1973,11,102.3367
1974,11,117.5388
1975,11,128.3751
1976,11,120.1662
1977,11,127.4235
1978,11,147.8155
1979,11,172.8076
1980,11,203.0406
1981,11,222.2714
1982,11,242.4051
1983,11,283.6227
1984,11,346.485
1985,11,442.9523
1986,11,570.8943
1987,11,739.739
1988,11,928.6056
1989,11,1102.46
1990,11,1295.918
1991,11,1413.64
1992,11,1532.166
1993,11,1710.245
1994,11,2013.327
1995,11,2521.88
1996,11,2953.375
1997,11,3382.084
1998,11,3884.015
1999,11,4382.054
2000,11,4923.99
2001,11,5585.255
2002,11,6373.213
2003,11,7259.137
2004,11,8251.167
2005,11,9525.419
1952,35,8.5
1953,35,8.68445
1954,35,9.640843
1955,35,11.39537
1956,35,17.69132
1957,35,19.46265
1958,35,25.44909
1959,35,32.08822
1960,35,39.61915
1961,35,39.02957
1962,35,37.34653
1963,35,36.20501
1964,35,37.12553
1965,35,38.28153
1966,35,39.4379
1967,35,36.46446
1968,35,34.28137
1969,35,32.49741
1970,35,37.05571
1971,35,45.00566
1972,35,51.87452
1973,35,56.99172
1974,35,60.48291
1975,35,62.17525
1976,35,61.60478
1977,35,60.70742
1978,35,68.06216
1979,35,77.43679
1980,35,88.60511
1981,35,98.04167
1982,35,109.4938
1983,35,124.0123
1984,35,140.0679
1985,35,159.0956
1986,35,182.8655
1987,35,208.1606
1988,35,227.522
1989,35,242.0089
1990,35,254.5015
1991,35,272.8592
1992,35,295.9367
1993,35,337.8872
1994,35,409.3727
1995,35,494.1568
1996,35,589.6534
1997,35,693.6925
1998,35,818.3974
1999,35,940.7399
2000,35,1063.468
2001,35,1185.762
2002,35,1318.169
2003,35,1486.394
2004,35,1703.289
2005,35,1968.566
1952,44,19.995
1953,44,22.69479
1954,44,24.33795
1955,44,26.55699
1956,44,30.29113
1957,44,34.67459
1958,44,47.8769
1959,44,63.80215
1960,44,83.55728
1961,44,83.84697
1962,44,80.96857
1963,44,80.35834
1964,44,83.97094
1965,44,87.43476
1966,44,88.9593
1967,44,87.5806
1968,44,84.18606
1969,44,84.95791
1970,44,93.10515
1971,44,102.5893
1972,44,111.7183
1973,44,122.6906
1974,44,134.9934
1975,44,151.9001
1976,44,168.9338
1977,44,186.558
1978,44,203.7521
1979,44,220.5242
1980,44,243.2685
1981,44,273.6936
1982,44,318.6092
1983,44,359.1778
1984,44,411.0166
1985,44,469.779
1986,44,533.4314
1987,44,597.5725
1988,44,678.0576
1989,44,758.8198
1990,44,854.6812
1991,44,967.4922
1992,44,1148.492
1993,44,1429.783
1994,44,1774.637
1995,44,2155.715
1996,44,2521.83
1997,44,2858.686
1998,44,3268.604
1999,44,3734.255
2000,44,4206.376
2001,44,4714.06
2002,44,5280.549
2003,44,6037.487
2004,44,6887.514
2005,44,7982.131
1952,46,1.7
1953,46,2.3968
1954,46,2.826707
1955,46,2.885343
1956,46,3.18835
1957,46,3.492269
1958,46,4.177011
1959,46,5.296018
1960,46,6.5176
1961,46,7.231911
1962,46,7.307647
1963,46,7.586113
1964,46,7.897846
1965,46,8.359653
1966,46,8.717126
1967,46,8.790282
1968,46,8.726415
1969,46,8.988679
1970,46,9.615766
1971,46,10.56265
1972,46,11.40864
1973,46,11.77341
1974,46,12.96316
1975,46,14.3087
1976,46,15.23506
1977,46,16.6925
1978,46,17.28002
1979,46,17.7878
1980,46,18.16534
1981,46,19.3395
1982,46,23.10837
1983,46,26.06183
1984,46,32.03459
1985,46,40.75105
1986,46,49.7674
1987,46,58.25359
1988,46,62.80161
1989,46,68.12835
1990,46,78.04333
1991,46,89.70455
1992,46,117.4552
1993,46,146.7618
1994,46,178.3822
1995,46,201.1441
1996,46,215.7013
1997,46,228.0868
1998,46,242.8323
1999,46,260.607
2000,46,278.5747
2001,46,297.0936
2002,46,318.2776
2003,46,344.3303
2004,46,374.0405
2005,46,411.3326
1952,13,52.2
1953,13,53.23878
1954,13,54.1935
1955,13,56.87312
1956,13,57.66686
1957,13,63.3173
1958,13,81.35524
1959,13,97.70852
1960,13,114.4964
1961,13,113.3444
1962,13,106.9003
1963,13,103.497
1964,13,102.2056
1965,13,103.3976
1966,13,105.0807
1967,13,106.7171
1968,13,108.2799
1969,13,112.1722
1970,13,119.6893
1971,13,131.3707
1972,13,142.531
1973,13,153.904
1974,13,168.2725
1975,13,190.4384
1976,13,210.1683
1977,13,230.5933
1978,13,254.622
1979,13,282.9891
1980,13,300.4479
1981,13,309.8466
1982,13,333.9874
1983,13,361.0933
1984,13,384.9446
1985,13,423.826
1986,13,465.2702
1987,13,511.7716
1988,13,568.9416
1989,13,616.6874
1990,13,663.5349
1991,13,730.1737
1992,13,839.2901
1993,13,977.4363
1994,13,1143
1995,13,1344.551
1996,13,1604.586
1997,13,1909.753
1998,13,2252.52
1999,13,2615.525
2000,13,2981.821
2001,13,3352.987
2002,13,3733.032
2003,13,4195.588
2004,13,4790.638
2005,13,5533.802
1952,32,51.3
1953,32,54.03942
1954,32,53.50968
1955,32,54.15426
1956,32,56.28109
1957,32,58.8296
1958,32,62.49804
1959,32,67.75858
1960,32,76.42317
1961,32,77.71007
1962,32,77.18054
1963,32,77.66627
1964,32,79.10573
1965,32,80.59168
1966,32,82.47876
1967,32,82.72263
1968,32,82.6712
1969,32,83.82512
1970,32,88.04374
1971,32,94.6327
1972,32,102.6514
1973,32,111.3828
1974,32,117.932
1975,32,126.5509
1976,32,136.6303
1977,32,146.5218
1978,32,162.8869
1979,32,183.8369
1980,32,207.8082
1981,32,231.1148
1982,32,283.636
1983,32,340.9083
1984,32,408.0724
1985,32,500.8924
1986,32,623.41
1987,32,758.7027
1988,32,913.0955
1989,32,1030.566
1990,32,1156.89
1991,32,1319.289
1992,32,1589.976
1993,32,1926.858
1994,32,2252.448
1995,32,2618.263
1996,32,3028.917
1997,32,3481.148
1998,32,4015.942
1999,32,4581.458
2000,32,5175.911
2001,32,5809.401
2002,32,6541.072
2003,32,7609.926
2004,32,8853.283
2005,32,10456.17
1952,21,85.7
1953,21,87.99739
1954,21,93.35615
1955,21,95.97528
1956,21,101.0843
1957,21,104.7451
1958,21,122.9575
1959,21,147.2624
1960,21,173.9861
1961,21,164.7043
1962,21,154.7422
1963,21,151.8663
1964,21,151.4884
1965,21,153.7139
1966,21,152.0622
1967,21,146.9034
1968,21,142.3338
1969,21,140.6746
1970,21,141.304
1971,21,145.6168
1972,21,147.2838
1973,21,151.649
1974,21,157.1452
1975,21,160.7999
1976,21,163.4585
1977,21,166.4404
1978,21,170.9342
1979,21,181.2012
1980,21,189.0402
1981,21,195.39
1982,21,210.587
1983,21,226.9285
1984,21,251.8596
1985,21,288.8896
1986,21,329.614
1987,21,381.3583
1988,21,436.9356
1989,21,475.6435
1990,21,513.7322
1991,21,557.8631
1992,21,608.1538
1993,21,710.1785
1994,21,811.4271
1995,21,890.6803
1996,21,964.4326
1997,21,1036.089
1998,21,1116.038
1999,21,1195.349
2000,21,1293.824
2001,21,1406.653
2002,21,1536.898
2003,21,1723.532
2004,21,2016.916
2005,21,2370.148
1952,37,57.4
1953,37,58.65706
1954,37,61.06198
1955,37,65.88217
1956,37,73.33922
1957,37,80.35592
1958,37,91.62393
1959,37,106.6777
1960,37,122.1461
1961,37,119.7017
1962,37,116.4243
1963,37,112.8473
1964,37,112.2713
1965,37,115.4185
1966,37,123.6305
1967,37,129.3436
1968,37,132.8034
1969,37,141.0397
1970,37,151.7744
1971,37,164.3083
1972,37,176.919
1973,37,190.242
1974,37,200.7591
1975,37,234.5124
1976,37,266.0068
1977,37,305.734
1978,37,347.6284
1979,37,386.7982
1980,37,425.7091
1981,37,465.0977
1982,37,519.2911
1983,37,578.6886
1984,37,662.0253
1985,37,766.1994
1986,37,876.1693
1987,37,1012.197
1988,37,1138.732
1989,37,1236.495
1990,37,1336.348
1991,37,1466.766
1992,37,1670.322
1993,37,1970.796
1994,37,2294.916
1995,37,2646.182
1996,37,3057.317
1997,37,3526.025
1998,37,4069.598
1999,37,4683.742
2000,37,5413.56
2001,37,6191.424
2002,37,7129.002
2003,37,8287.159
2004,37,9778.5
2005,37,11621.49
1952,31,22.8
1953,31,24.7266
1954,31,26.20149
1955,31,28.06146
1956,31,31.29556
1957,31,34.44719
1958,31,45.80522
1959,31,62.32008
1960,31,79.29923
1961,31,81.5133
1962,31,78.97535
1963,31,78.46399
1964,31,80.73089
1965,31,83.58272
1966,31,85.82106
1967,31,84.56132
1968,31,83.38831
1969,31,86.35668
1970,31,94.16552
1971,31,103.1239
1972,31,114.4075
1973,31,129.2887
1974,31,152.4929
1975,31,188.7477
1976,31,208.6469
1977,31,216.939
1978,31,241.9089
1979,31,273.5037
1980,31,308.3696
1981,31,354.1908
1982,31,416.6576
1983,31,479.108
1984,31,553.3904
1985,31,641.3491
1986,31,741.1808
1987,31,860.4234
1988,31,994.8742
1989,31,1091.456
1990,31,1183.762
1991,31,1275.091
1992,31,1409.713
1993,31,1601.323
1994,31,1903.029
1995,31,2304.659
1996,31,2760.887
1997,31,3203.179
1998,31,3618.106
1999,31,4005.879
2000,31,4410.049
2001,31,4837.597
2002,31,5324.211
2003,31,5857.622
2004,31,6495.189
2005,31,7243.83
1952,12,13.2
1953,12,13.83226
1954,12,14.91188
1955,12,15.16495
1956,12,16.20264
1957,12,17.59477
1958,12,23.32998
1959,12,29.34025
1960,12,36.23006
1961,12,35.70727
1962,12,34.47432
1963,12,34.35011
1964,12,35.78222
1965,12,36.39492
1966,12,38.35971
1967,12,37.19285
1968,12,36.75468
1969,12,39.01378
1970,12,44.66207
1971,12,50.53778
1972,12,58.23976
1973,12,71.61523
1974,12,90.01055
1975,12,108.051
1976,12,120.312
1977,12,135.3628
1978,12,147.1925
1979,12,165.031
1980,12,181.5816
1981,12,195.3654
1982,12,216.8147
1983,12,243.3111
1984,12,279.0567
1985,12,324.3406
1986,12,368.6815
1987,12,409.2341
1988,12,446.5035
1989,12,471.8505
1990,12,494.0138
1991,12,539.145
1992,12,591.9759
1993,12,648.3113
1994,12,722.3242
1995,12,812.3945
1996,12,913.0328
1997,12,1025.84
1998,12,1160.543
1999,12,1281.173
2000,12,1413.677
2001,12,1574.873
2002,12,1767.035
2003,12,2023.78
2004,12,2316.252
2005,12,2677.331
1952,33,29.6
1953,33,29.90784
1954,33,30.38741
1955,33,30.98966
1956,33,32.68553
1957,33,35.0474
1958,33,42.83021
1959,33,51.07059
1960,33,59.11485
1961,33,60.23599
1962,33,60.08917
1963,33,60.72605
1964,33,62.22531
1965,33,64.35024
1966,33,66.87502
1967,33,68.53582
1968,33,69.62574
1969,33,73.76639
1970,33,79.39801
1971,33,85.53684
1972,33,94.55547
1973,33,102.1814
1974,33,109.2647
1975,33,114.9251
1976,33,122.0637
1977,33,130.3848
1978,33,138.6322
1979,33,146.7954
1980,33,161.5926
1981,33,175.0552
1982,33,192.3876
1983,33,209.6189
1984,33,239.6705
1985,33,293.6931
1986,33,353.4698
1987,33,422.0237
1988,33,488.7147
1989,33,539.0312
1990,33,590.0169
1991,33,656.384
1992,33,757.3936
1993,33,918.7873
1994,33,1134.919
1995,33,1392.385
1996,33,1689.592
1997,33,1981.058
1998,33,2297.784
1999,33,2627.639
2000,33,3006.786
2001,33,3451.925
2002,33,4018.969
2003,33,4821.449
2004,33,5759.388
2005,33,6779.662
1952,34,23.8
1953,34,24.44022
1954,34,25.20224
1955,34,27.51426
1956,34,29.11405
1957,34,30.97439
1958,34,38.12774
1959,34,44.22072
1960,34,48.70061
1961,34,46.63145
1962,34,42.41901
1963,34,39.87237
1964,34,39.65032
1965,34,40.60151
1966,34,40.92589
1967,34,39.90536
1968,34,39.03755
1969,34,39.05748
1970,34,40.91524
1971,34,44.24876
1972,34,47.68352
1973,34,51.21694
1974,34,54.99901
1975,34,55.99993
1976,34,59.90594
1977,34,63.33701
1978,34,66.46725
1979,34,68.87812
1980,34,71.57162
1981,34,72.75466
1982,34,82.23268
1983,34,94.93486
1984,34,115.4616
1985,34,142.117
1986,34,168.2864
1987,34,194.1474
1988,34,215.5766
1989,34,233.5657
1990,34,253.9096
1991,34,258.9368
1992,34,266.7825
1993,34,285.7392
1994,34,319.5457
1995,34,362.1709
1996,34,408.7786
1997,34,457.6201
1998,34,506.6925
1999,34,553.5947
2000,34,604.4395
2001,34,660.4098
2002,34,723.2564
2003,34,800.4193
2004,34,914.131
2005,34,1049.772
1952,41,49
1953,41,47.5741
1954,41,47.49539
1955,41,50.34463
1956,41,55.43404
1957,41,61.07368
1958,41,77.3439
1959,41,97.56469
1960,41,119.3282
1961,41,116.8691
1962,41,113.1172
1963,41,111.078
1964,41,111.0475
1965,41,113.6169
1966,41,121.0308
1967,41,122.4557
1968,41,120.5342
1969,41,126.1472
1970,41,143.0108
1971,41,157.3294
1972,41,170.19
1973,41,185.1138
1974,41,201.5743
1975,41,219.125
1976,41,232.3694
1977,41,248.7328
1978,41,268.0087
1979,41,287.2031
1980,41,315.1143
1981,41,337.7392
1982,41,368.394
1983,41,415.7254
1984,41,462.3155
1985,41,522.0778
1986,41,587.6669
1987,41,642.2114
1988,41,731.6898
1989,41,798.5251
1990,41,859.2186
1991,41,931.6667
1992,41,1025.354
1993,41,1138.066
1994,41,1281.554
1995,41,1458.277
1996,41,1673.367
1997,41,1915.103
1998,41,2190.644
1999,41,2468.218
2000,41,2777.213
2001,41,3089.913
2002,41,3452.925
2003,41,3893.528
2004,41,4450.413
2005,41,5286.325
1952,23,42
1953,23,43.575
1954,23,46.2252
1955,23,49.10818
1956,23,53.785
1957,23,57.24004
1958,23,67.37739
1959,23,79.88896
1960,23,95.63462
1961,23,92.5941
1962,23,89.27007
1963,23,89.70494
1964,23,91.69406
1965,23,93.46283
1966,23,93.3776
1967,23,91.51555
1968,23,89.24846
1969,23,90.57581
1970,23,93.21213
1971,23,96.37657
1972,23,101.3204
1973,23,108.0577
1974,23,115.6727
1975,23,124.6651
1976,23,134.4911
1977,23,145.0957
1978,23,159.1092
1979,23,173.1633
1980,23,195.2216
1981,23,223.2641
1982,23,263.4238
1983,23,294.6881
1984,23,341.4436
1985,23,397.936
1986,23,448.7868
1987,23,498.9853
1988,23,545.6835
1989,23,573.5431
1990,23,600.3325
1991,23,628.0362
1992,23,661.7407
1993,23,701.878
1994,23,748.5277
1995,23,803.2067
1996,23,869.171
1997,23,940.2029
1998,23,1032.997
1999,23,1116.12
2000,23,1202.7
2001,23,1306.873
2002,23,1422.839
2003,23,1544.303
2004,23,1690.315
2005,23,1867.573
1952,42,12.4
1953,42,13.4354
1954,42,14.79052
1955,42,16.42599
1956,42,19.70494
1957,42,24.08766
1958,42,30.20353
1959,42,36.45643
1960,42,44.90649
1961,42,42.85351
1962,42,40.82029
1963,42,39.1137
1964,42,37.51887
1965,42,37.20926
1966,42,39.52345
1967,42,40.77228
1968,42,39.89366
1969,42,42.31843
1970,42,57.53414
1971,42,69.20842
1972,42,76.74505
1973,42,80.28829
1974,42,84.66813
1975,42,93.47095
1976,42,108.6666
1977,42,121.6408
1978,42,131.0127
1979,42,134.3026
1980,42,137.196
1981,42,138.4203
1982,42,146.4203
1983,42,157.1193
1984,42,174.4904
1985,42,196.9295
1986,42,216.6478
1987,42,241.2906
1988,42,264.1853
1989,42,278.9449
1990,42,295.0975
1991,42,315.8213
1992,42,345.3312
1993,42,389.2553
1994,42,454.0901
1995,42,533.7535
